Year,CLIENT_ID,NAME,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,COUNTRY,CREATED_DATE,ACTIVE
2011,12560,Rice Financial Products Co.,"17 State Street, 40th Flr",,New York,NY,10004,United States,,Y
2011,12564,University of Chicago,"5801 S. Ellis Avenue, Ste. 503",,Chicago,IL,60637,United States,,Y
2011,12566,"5454 S. Shore Drive, LLC",32 N. Dean St.,,Englewood,NJ,07631,United States,,Y
2011,13735,"General Growth Properties, Inc",110 N. Wacker Dr,,Chicago,IL,60606,United States,,Y
2011,12579,DePaul University,One East Jackson Blvd.,,Chicago,IL,60604,United States,,Y
2011,13742,Carolina Software Technology,1325 Central Rd,,Clemmons,NC,20712,United States,,Y
2011,12586,Chicago Board of Education,125 S. Clark St.,,Chicago,IL,60603,United States,,Y
2011,13744,ULICH Children's Advantage Network,3737 N. Mozart Ave.,,Chicago,IL,60618,United States,,Y
2011,12588,University of Chicago,"5801 S. Ellis Avenue, Ste. 619",,Chicago,IL,60637,United States,,Y
2011,12599,Supervalu d%2fb%2fa Jewel-Osco and Save-a-Lot,"150 Pierce Rd., Ste. 200",,Itasca,IL,60143,United States,,Y
2011,13755,VacationRentChicago.com,1530 N. Hoyne,,Chicago,IL,60622,United States,,Y
2011,12607,JP Morgan Chase,10 S. Dearborn,,Chicago,IL,60603,United States,,Y
2011,13764,Wimpco Inc,7700 S. Michigan Ave,,Chicago,IL,60619,United States,,Y
2011,13772,Illinois Concrete Products Assoc.,1440 Renaissance Dr. #340,,Park Ridge,IL,60068,United States,,Y
2011,12653,Teamsters Joint Council 25,"1300 W. Higgins Rd., STe. 220",,Park Ridge,IL,60068,United States,,Y
2011,12654,Teamsters Joint Council 25,"1300 W. Higgins Rd., STe. 220",,Park Ridge,IL,60068,United States,,Y
2011,13786,Raymond James,770 Carrilon Pkwy,,St.Petersburg,FL,33716,United States,,Y
2011,13792,Miller Coors LLC,250 S. Wacker Dr,,Chicago,IL,60606,United States,,Y
2011,12672,"Harrison, Lee Hecht","500 W. Monroe st., Ste. 1818",,Chicago,IL,60661,United States,,Y
2011,12673,Roosevelt University,430 S. Michigan Ave,,Chicago,IL,60605,United States,,Y
2011,13800,Old Republic International Corp.,307 N. Michigan Ave,,Chicago,IL,60601,United States,,Y
2011,12689,ProLogis,"100 Division Street, Suite 101",,Bensenville,IL,60106,United States,,Y
2011,13807,"Jensen, James C",678 N. Main St.,,Glen Ellyn,IL,60137,United States,,Y
2011,13812,"Unitedhealthcare of Illinois, Inc.",233 N. Michigan Ave.,,Chicago,IL,60601,United States,,Y
2011,12701,Chicago Board of Education,125 S. Clark St.,,Chicago,IL,60603,United States,,Y
2011,13814,Chicagoland Chamber of Commerce,200 E. Randolph  #2200,,Chicago,IL,60601,United States,,Y
2011,12712,Van Wagner Outdoor,800 Third Avenue  28th Flr,,New York,NY,10022,United States,,Y
2011,12723,Extend Health,185 N. Milwaukee Ave,,Chicago,IL,60069,United States,,Y
2011,12732,Great Lakes Prinicipals  c%2fo CD_EP Retail JV LLC,221 W. Illinois St.,,Wheaton,IL,60187,United States,,Y
2011,13829,Med Properties LLC,720 N. Franklin #300,,Chicago,IL,60654,United States,,Y
2011,12733,Mesirow Financial,350 N. Clark St.,,Chicago,IL,60610,United States,,Y
2011,13832,Victor Sign Corp,2734 W Superior,,Chicago,Il,60612,United States,,Y
2011,12734,"400-410 N. Michigan Ave., Ste. 250","401 N Michigan Ave., Ste. 250",,Chicago,IL,60611,United States,,Y
2011,12793,Apostolic Faith Church,3823 S. Indiana Ave,,Chicago,Il,60653,United States,,Y
2011,12798,Rosenwalkd Courts LP,15828 Clarendon Hills Dr,,Granger,IN,46530,United States,,Y
2011,13867,MR Properties LLC,"1350 East Touhy, Ste. 370W",,Des Plaines,IL,60018,United States,,Y
2011,13868,Rass Hospitality,8201 W. Higgins Rd,,Chicago,IL,60632,United States,,Y
2011,13869,150 East Ontario Acquistions LLC,360 N. Michigan Ave.  Ste. 1400,,Chicago,IL,60601,United States,,Y
2011,13064,JDI%2fJohnson Controls Inc.,3007 Malmo,,Arlington Heights,IL,60005,United States,,Y
2011,13068,Museums in the Park,1601 N. Clark St.,,Chicago,IL,60614,United States,,Y
2011,14034,Illinois Restaurant Association,33 W. Monroe Ste. 250,,Chicago,IL,60603,United States,,Y
2011,14049,Chicago Cubs,1060 W. Addison,,Chicago,IL,60613,United States,,Y
2011,13077,Security Properties Inc,"1201 Third Avenue, Ste. 4500",,Seattle,WA,98101,United States,,Y
2011,13083,Cisco Systems,170 W. Tasman Dr. Bldg 10,,San Jose,CA,95134,United States,,Y
2011,13085,Christy Webber Landscapes,2900 W. Ferdinand St.,,Chicago,IL,60612,United States,,Y
2011,13086,Village of Bensenville,12 S. Center St.,,Bensenville,IL,60106,United States,,Y
2011,14072,"NextG Networks, Inc.",890 Tasman Dr,,Milpitas,CA,95035,United States,,Y
2011,13112,"Media Communications, Inc d%2fb%2fa Visual Cast","One East Superior St., Flr 5",,Chicago,IL,60611,United States,,Y
2011,13113,Victor Sign Corp,2734 W Superior,,Chicago,Il,60612,United States,,Y
2011,13114,Med Properties LLC,720 N. Franklin #300,,Chicago,IL,60654,United States,,Y
2011,13119,"Steve's Equipment Service, Inc",1400 Powis Rd.,,West Chicago,Il,60185,United States,,Y
2011,13121,"Continental Airl Lines, Inc",77 West Wacker Dr.,,Chicago,IL,60601,United States,,Y
2011,13123,A. Epstein and Sons International Inc,600 W. Fulton St.,,Chicago,IL,60661,United States,,Y
2011,14082,MR Properties LLC,"c/o Phil Mappa 1350 East Touhy, Ste. 370W",,Des Plaines,IL,60018,United States,,Y
2011,14089,"Fakhoury, Khaldoun","KJF Properties, LLC  1010 Hillside Dr",,Northbrook,IL,60062,United States,,Y
2011,14093,VacationRentChicago.com,1530 N. Hoyne,,Chicago,IL,60622,United States,,Y
2011,13130,CRM Properties,"740 Waukegan Road, Suite 400",,Deerfield,IL,60015,United States,,Y
2011,14096,Halsted Triangle Home Owner's Assoc,c/o Rosemary Deahl  1450 N. Dayton,,Chicago,IL,60642,United States,,Y
2012,11870,Latin Rhythms Dance Ltd,210 N. Racine #1,,Chicago,IL,60607,United States,,Y
2012,11879,"Antheus Capital, LLC",32 N. Dean St.,,Englewood,NJ,07631,United States,,Y
2012,11885,1600 E 53rd St. LLC,32 N. Dean St  2nd flr,,Englewood,NJ,07631,United States,,Y
2012,11902,"Loop Capital Markets, LLC",200 W. Jackson Blvd. Ste. 1600,,Chicago,IL,60606,United States,,Y
2012,11910,"Hamilton Partners, Inc",39 S. LaSalle St.,,Chicago,IL,60603,United States,,Y
2012,11911,Hispanic Housing Development Cor.,325 N. Wells 8th Flr,,Chicago,IL,60610,United States,,Y
2012,11922,Chicago Teachers Union,222 Merchandise Mart,,Chicago,IL,60654,United States,,Y
2012,12630,Government Enhancement Services,"440 N. Wabash, Unit 3105",,Chicago,IL,60611,United States,,Y
2012,12826,"KeyBanc Capital Markets, Inc","127 Public Square, 4th Flr",,Cleveland,OH,44114,United States,,Y
2012,12037,"Skyway Concession Co., LLC",233 N. Michigan Ave. Ste. 1980,,Chicago,IL,60601,United States,,Y
2011,12846,Northern Trust Corporation,"800 Connecticut Ave., N.W., Ste. 200",,Washington,DC,20006,United States,,Y
2011,12860,ESI,1979 N. Mill St,,Naperville,IL,60563,United States,,Y
2011,13882,MBB Enterprises Inc,3352 W. Grand Ave,,Chicago,IL,60651,United States,,Y
2011,12867,AT&T Illinois,225 West Randolph St. Floor 27B,,Chicago,IL,60606,United States,,Y
2011,12901,Harper Court Partners LLC,"Vermilion Development, 180 N. Stetson, Ste. 3500",,Chicago,IL,60601,United States,,Y
2011,12903,Mid-Continental Bldg Corp,1525 E. 53rd St.,,Chicago,IL,60615,United States,,Y
2011,12922,Resurrection Health Care,7435 W. Talcott Avenue,,Chicago,IL,60631,United States,,Y
2011,13912,Chicago Parking Meters LLC,350 E. Monroe St.,,Chicago,IL,60603,United States,,Y
2011,13913,Chicago Loop Parking,350 E. Monroe St.,,Chicago,IL,60603,United States,,Y
2011,12924,"Loop Capital Markets, LLC",200 W. Jackson Blvd. Ste. 1600,,Chicago,IL,60606,United States,,Y
2011,12931,"Gateway Park, LLC",8999 Palmer St,,Chicago,IL,60602,United States,,Y
2011,12933,"National Promotions & Advertising, Inc (FKA Contest Promotions)",3440 Overland Ave,,Los Angeles,CA,90034,United States,,Y
2011,12937,United Neighborhood Organization,954 W. Washington Blvd. - 3rd flr,,Chicago,IL,60607,United States,,Y
2011,12941,Supervalu d%2fb%2fa Jewel-Osco and Save-a-Lot,"150 Pierce Rd., Ste. 200",,Itasca,IL,60143,United States,,Y
2011,12945,Hertz Rental Car Corporation,225 Brae Blvd,,Park Ridge,NJ,07656,United States,,Y
2011,13933,Noble Network of Charter Schools,1010 North Noble St.,,Chicago,IL,60642,United States,,Y
2011,12950,Ad Pod Media LLC,"155 N. Michigan Ave., Ste. 765",,Chicago,IL,60601,United States,,Y
2011,13946,"Sun Dome, Inc",3641 S. Washtenaw St,,Chicago,IL,60632,United States,,Y
2011,12963,Illinois Restaurant Association,"33 W. Monroe, Ste. 250",,Chicago,IL,60603,United States,,Y
2011,12965,Chicagoland Apartment Assn.,"557 W. Randolph St., 2nd Flr",,Chicago,IL,60661,United States,,Y
2011,13007,Chicago Lakeside Development LLC,"737 N. Michigan Ave., Ste. 2500",,Chicago,Il,60611,United States,,Y
2011,13011,CenterPoint Properties Trust,1808 Swift Drive,,Oak Brook,IL,60523,United States,,Y
2011,13044,J C Decaux NA,3 Park Ave. 33rd floor,,New York,NY,10016,United States,,Y
2011,14029,"Verint Technology, Inc.",14900 Conference Center,,Chantilly,VA,20151,United States,,Y
2012,11540,"Aetna, Inc.",One S. Wacker Dr.  Ste.1200,,Chicago,IL,60606,United States,,Y
2012,11549,"Citibank, NA","388 Greenwich St., 22nd Flr",,New York,NY,10013,United States,,Y
2012,11568,Columbia College,600 S. Michigan Ave.,,Chicago,IL,60605,United States,,Y
2012,11573,Chicago Regional Council of Carpenters,12 E. Erie St.,,Chicago,IL,60611,United States,,Y
2012,11600,Clear Channel Outdoor,2201 E Camelback Rd.  Ste. 500,,Phoenix,AR,85016,United States,,Y
2012,11602,Katten Muchin Rosenman LLP,525 West Monroe St.,,Chicago,IL,60661,United States,,Y
2012,11612,New Life Covenant Oakwood Church,1021 E. 76th St.,,Chicago,IL,60619,United States,,Y
2012,11613,St Luke Church of God in Christ,914 North Orleans,,Chicago,IL,60610,United States,,Y
2012,11620,"Wal-Mart Stores, Inc.",2001 S.E. 10th St,,Bentonville,AR,72716,United States,,Y
2012,11627,New Life Covenant Oakwood Church,1021 E. 76th St.,,Chicago,IL,60619,United States,,Y
2012,11631,Monroe Investments Partners LLC,"30 W. Monroe St, sTE 1000",,Chicago,IL,60603,United States,,Y
2012,11644,Prologue Inc,1135 N Cleaver,,Chicago,IL,60642,United States,,Y
2012,11665,"BP America, Inc.","4101 Winfield Road, Mail Code 5 East",,Warrenville,IL,60555,United States,,Y
2012,11672,Chicago Board of Education,125 S. Clark St.,,Chicago,IL,60603,United States,,Y
2012,11673,KPMG LLP,303 E. Wacker Dr.,,Chicago,IL,60601,United States,,Y
2012,11678,City Escape,3022 W. Lake St.,,Chicago,IL,60610,United States,,Y
2012,11685,"Chicago Clean Energy, LLC",315 Park Avenue South,,New York,NY,10010,United States,,Y
2012,11687,McCaffery Interests,"875 N. Michigan Ave., Ste. 1800",,Chicago,IL,60611,United States,,Y
2012,11703,"Family Guidance Centers, Inc",310 W. Chicago Ave.,,Chicago,IL,60610,United States,,Y
2012,11710,K-Five Construction Corp,13769 Main St,,Lemont,IL,60439,United States,,Y
2012,11728,Alexian Brothers,825 W. Wellington,,Chicago,IL,60657,United States,,Y
2012,11729,Brownlow Benton Salvation Army & Works Development,345 N. Canal #301,,Chicago,IL,60606,United States,,Y
2012,11739,United Airlines,77 West Wacker,,Chicago,IL,60601,United States,,Y
2012,11759,Principal Real Estate Investors,"711 High Street, G-34",,Des Moines,IA,50392,United States,,Y
2012,11775,Incapital LLC,200 S. Wacker Dr  Ste. 3700,,Chicago,IL,60606,United States,,Y
2012,11783,AT&T Illinois,225 West Randolph St. Floor 27B,,Chicago,IL,60606,United States,,Y
2012,11788,Brownlow Benton Salvation Army & Works Development,345 N. Canal #301,,Chicago,IL,60606,United States,,Y
2012,11798,Sonia Shankman School Corp.,"3000 Dundee, #303",,Northbrook,Il,60062,United States,,Y
2012,11831,JDL Development Co.,900 N. Branch,,Chicaqgo,IL,60622,United States,,Y
2012,11834,DV Urban Realty Partners LP,3619 S. State St,,Chicago,IL,60609,United States,,Y
2012,11836,Chicago Lakeside Development LLC,"737 N. Michigan Ave., Ste. 2500",,Chicago,Il,60611,United States,,Y
2012,11837,"CD-EB %2f EP Retail JC, LLC c%2fo Great Lakes Principals",221 W. Illinois St.,,Wheaton,IL,60187,United States,,Y
2012,11838,DAGS Desplaines LLC c%2fo Mesirow Financial,353 N. Clark,,Chicago,IL,60654,United States,,Y
2012,11842,Barrett & Porto,221 W. Illinois,,Wheaton,IL,60187,United States,,Y
2012,11858,BMO Harris Bank NA,"111 W. Monroe, 12C",,Chicago,Il,60603,United States,,Y
2011,11899,Northern IL Fire Sprinkler Advisory Board,62 Orland Square Dr.,,Orland Park,IL,60462,United States,,Y
2011,13367,Wm. Wrigley Jr. Co.,410 N. Michigan Ave.,,Chicago,IL,60611,United States,,Y
2011,13369,Resurrection Medical Center,7437 W. Talcott Ave,,Chicago,IL,60631,United States,,Y
2011,11914,United Neighborhood Organization,954 W. Washington Blvd. - 3rd flr,,Chicago,IL,60607,United States,,Y
2011,11922,Chicago Teachers Union,222 Merchandise Mart,,Chicago,IL,60654,United States,,Y
2012,14755,Paradies Shops,5959 Fulton Industrial Blvd,,Atlanta,GA,30336,United States,07/18/2012,Y
2012,14881,"Crown Castle USA, Inc.",2000 Corporate Drive,,Cannonsburg,PA,15317,United States,08/06/2012,Y
2011,13463,M & T Partnership,c/o Mafat Patel  2609 W. devon,,Chicago,IL,60659,United States,,Y
2011,12059,Acacia Financial,"13000 Lincoln Dr. West, Ste. 206",,Marlton,NJ,08053,United States,,Y
2011,12094,Commonwealth Edison,"440 S. LaSalle St., Suite 3300",,Chicago,IL,60605,United States,,Y
2011,13481,Vienna Sausage Manufacturing Co.,2501 N. Damen Ave.,,Chicago,IL,60647,United States,,Y
2011,13483,St. Bernard Hospital,326 W. 64th St.,,Chicago,IL,60621,United States,,Y
2011,13490,"3500 Damen, LLC",840 W. Lill Ave,,Chicago,IL,60614,United States,,Y
2011,12113,F.H. Paschen %2f S.N. Nielsen Inc,8725 W. Higgins Ste 200,,Chicago,IL,60631,United States,,Y
2011,13503,"Salbi, Paul",1028 S. Linneman Rd,,Mt. Prospect,IL,60056,United States,,Y
2011,13504,Perillo BMW,1035 N. clark,,Chicago,IL,60610,United States,,Y
2011,13517,"Schumacher, Nicole",2033 N. Damen Ave  #3S,,Chicago,IL,60647,United States,,Y
2011,13523,Smart City LLC Investment,826 N Damen #2,,Chicago,IL,60622,United States,,Y
2011,13524,Sedgwick Properties,"1525 W. Homer St., Ste. 400",,Chicago,IL,60642,United States,,Y
2011,13532,"Huang, Darren","434 W. 29th St., 1st Flr",,Chicaqo,IL,60616,United States,,Y
2011,12132,"Capitol Consulting Group Illinois, LLC",350 W. 22nd St.  #106,,Lombard,IL,60148,United States,,Y
2011,13542,Ameresco Inc,150 N. Michigan,,Chicago,Il,60601,United States,,Y
2011,12140,HR Green,"651 Prairie Pointe Dr., Ste. 201",,Yorkville,IL,60560,United States,,Y
2011,12148,A Finkl & Sons Co.,2011 N. Southport,,Chicago,Il,60614,United States,,Y
2011,13549,Preservation of Affordable Housing,"77 W. Washington St., Ste. 1006",,Chicago,Il,60602,United States,,Y
2011,13550,CO-EB %2f Ed  Retal Jr LLC,221 W. Illinois St.,,Wheaton,IL,60187,United States,,Y
2011,12178,Chicago Teachers Union,222 Merchandise Mart,,Chicago,IL,60654,United States,,Y
2011,12179,"Goldman Sachs Asset Management, LP",200 West St.,,New York,NY,10282,United States,,Y
2011,13558,KPMG LLP,303 E. Wacker Dr,,Chicago,IL,60601,United States,,Y
2011,13559,"Alnemer, Nabil",7707 Marquette Dr. South,,Tinley Park,IL,60744,United States,,Y
2011,12181,Juan More & Gustavo Mora d%2fb%2fa Delicias Ice Cream,2813 W Cermak Rd,,Chicago,IL,60623,United States,,Y
2011,13567,Thai Towne Center,"2407 E. Oakton St., Ste. B-10",,Arlington Heights,IL,60005,United States,,Y
2011,13568,Urban Outfitters Inc,5000 S. Broad St,,Philadelphia,PA,19112,United States,,Y
2011,13575,"Ruci, Dritam",6414 N. Albany 2W,,Chicago,IL,60645,United States,,Y
2011,13576,"JCDecaux North America, Inc","3 Park Avenue, 33rd Floor",,New York,NY,10016,United States,,Y
2011,12200,Metropolitan Housing Development Corp,8 S. Michigan Ave.  Ste. 3000,,Chicago,IL,60603,United States,,Y
2011,13577,"Morgan Stanley & Co., Inc.",1585 Broadway,,New York,NY,10036,United States,,Y
2011,12211,Central Station LLC,1455 S. Michigan Ave,,Chicago,IL,60605,United States,,Y
2011,12213,GHB 630 LLC,625 N Michigan Ave,,Chicago,IL,60611,United States,,Y
2011,12215,"Lakeshore East, LLC",1 W. superior #200,,Chicago,IL,60610,United States,,Y
2011,12225,AFSCME Council 31,"205 N. Michigan Ave., Ste. 2100",,Chicago,IL,60601,United States,,Y
2011,13583,KeyBank National Association,127 Public Square,,Cleveland,OH,44114,United States,,Y
2011,13587,SRC Aviation,P.O. Box 370022,,Denver,CO,80237,United States,,Y
2011,12259,"Draper & Kramer, Inc",33 West Monroe St.,,Chicago,IL,60603,United States,,Y
2011,12262,Stonewater Partners,"One North State St., Ste. 1050",,Chicago,IL,60602,United States,,Y
2011,12265,DJ Acquisitions LLC,"233 S. Wacker Dr., Ste. 5750",,Chicago,IL,60606,United States,,Y
2011,12266,"747 N. Wabash Ave. Apartments Investors, LLC",747 N. Wabash Ave.,,Chicago,IL,60611,United States,,Y
2011,12271,TASC,1500 N. Halsted,,Chicago,IL,60622,United States,,Y
2011,12272,Allied Tube & Conduit,16100 S. Lathrop Ave.,,Harvey,IL,60426,United States,,Y
2011,12275,Federation of Women Contractors,5650 S. Archer,,Chicago,IL,60638,United States,,Y
2011,12276,YMCA of Metropolitan Chicago,801 N. Dearborn Ave.,,Chicago,IL,60610,United States,,Y
2011,12294,"William Blair & Co., LLC",222 W. Adams St.,,Chicago,IL,60606,United States,,Y
2012,12484,Nurse-Family Partnership,1900 Grant St.,,Denver,CO,80203,United States,,Y
2012,12351,Chicago Automobile Trade Association,18W200 Butterfield Road,,Oakbrook Terrace,IL,60181,United States,,Y
2012,12353,"Family Guidance Centers, Inc",310 W. Chicago Ave.,,Chicago,IL,60610,United States,,Y
2012,12352,"Knight Engineers and Architects, Inc.","221 N. LaSalle St, Suite 300",,Chicago,IL,60601,United States,,Y
2012,11702,Chicago Automobile Trade Assoc.,18W200 Butterfield Rd,,Oakbrook Terrace,IL,60181,United States,,Y
2012,14201,"Republic Services, Inc & Allied Waste Transportation, Inc",18500 N. Allied Way,,Phoeniz,AZ,85054,United States,05/07/2012,Y
2012,12723,Extend Health,185 N. Milwaukee Ave,,Chicago,IL,60069,United States,,Y
2012,12780,PNC Bank,1 N. Franklin Ste. 3600,,Chicago,IL,60606,United States,,Y
2012,12682,Ogden Development LLC,4115 W Ogden Ave,,Chicago,IL,60623,United States,,Y
2012,12671,Adecco North America,175 Broad Hollow Road,,Melville,NY,11747,United States,,Y
2012,12944,UBM Facilities Service,165 Easy St.,,Carol Stream,IL,60188,United States,,Y
2011,13848,Illinois Sports Facilities Authority,333 West 35th Street,,Chicago,IL,60615,United States,,Y
2012,12459,"Wells Fargo Securities, LLC","1675 Broadway, Ste. 2700",,Denver,CO,80202,United States,,Y
2012,14219,Rosenwald Court Apartments,4600 S Michigan Ave,,Chicago,IL,60653,United States,05/14/2012,Y
2011,13700,"Banco Popular North America, Inc.",9600 Bryn Mawr Ave.,,Rosemont,IL,60018,United States,,Y
2011,13702,Jayne Pekin Revocable Trust,c/o Gerald A Golden  2 North LaSalle St.,,Chicago,IL,60602,United States,,Y
2011,13727,Reyes & Bonoma,"600 W. VanBuren, Ste. 909",,Chicago,IL,60607,United States,,Y
2011,12558,George K. Baum & Co.,"11 S. LaSalle St., Ste. 800",,Chicago,IL,60603,United States,,Y
2011,12688,Museum of Contemporary Art,220 E. Chicago Ave,,Chicago,IL,60611,United States,,Y
2011,13810,AT&T Illinois,225 West Randolph St. Floor 27B,,Chicago,IL,60606,United States,,Y
2011,12702,Public Building Commission of Chicago,200 Richard J. Daley Center,,Chicago,IL,60602,United States,,Y
2011,12719,Katten Muchin Rosenman LLP,525 West Monroe Street,,Chicago,IL,60661,United States,,Y
2011,13824,Melvin & Company,"111 W. Jackson Blvd., Ste. 2110",,Chicago,IL,60604,United States,,Y
2011,12776,"ESi Acquisition, Inc",823 Broad St.,,Augusta,GA,30901,United States,,Y
2011,13853,JPMorgan Securities Inc.,1125 17th St. Flr 2,,Denver,CO,80202,United States,,Y
2011,13943,Reyes & Bonoma,"600 W. VanBuren, Ste. 909",,Chicago,IL,60607,United States,,Y
2012,12041,"Westfield Concession Management, Inc.","2730 University Blvd., Ste 900",,Wheaton,MD,20902,United States,,Y
2012,12043,"Election Systems & Softward, LLC",11208 John Galt Blvd,,Omaha,NE,68137,United States,,Y
2012,12059,Acacia Financial,"13000 Lincoln Dr. West, Ste. 206",,Marlton,NJ,08053,United States,,Y
2012,12071,Sisters of Mercy,10024 S. Central Park Ave,,Chicago,IL,60655,United States,,Y
2012,12078,Zespy Properties of Chicago LLC,2410 W. Fullerton Ave,,Chicago,IL,60647,United States,,Y
2012,12085,"Gateway Foundation, Inc.",55 E. Jackson Blvd,,Chicago,IL,60604,United States,,Y
2012,12091,William Blair,222 W/ Adams St.,,Chicago,IL,60606,United States,,Y
2012,12104,ULICH Children's Advantage Network,3737 N. Mozart Ave.,,Chicago,IL,60618,United States,,Y
2012,12120,Gold Coast Tickets,908 W. Madison,,Chicago,IL,60607,United States,,Y
2012,12123,Fifth Third Bank,222 S. Riverside Plaza,,Chicago,Il,60606,United States,,Y
2012,12126,Rice Financial Products Co.,"17 State Street, 40th Flr",,New York,NY,10004,United States,,Y
2012,12127,Chicago Ambulance Alliance,8400 183rd Place,,Tinley Park,IL,60487,United States,,Y
2012,12131,Sprint Nextel,P O Box 6370,,Phoenix,AZ,85082,United States,,Y
2012,12132,"Capitol Consulting Group Illinois, LLC",350 W. 22nd St.  #106,,Lombard,IL,60148,United States,,Y
2012,12138,"Securities Industry and Financial Markets Assoc., Inc.","120 Broadway, Floor 35",,New York,NY,10271,United States,,Y
2012,12139,Academy for Urban School Leadership,3400 N. austin Ave.,,Chicago,IL,60634,United States,,Y
2012,12150,Smart Hotels LLC,"3201 Enterprise Pkwy, Ste. 140",,Beachwood,OH,44122,United States,,Y
2012,12166,Preferred-Halsted LLC,141 W. Jackson Blvd.,,Chicago,IL,60604,United States,,Y
2012,12167,Bank of America NA,540 W. Madison St.,,Chicago,IL,60661,United States,,Y
